,post_caption
134712,"Made a spontaneous decision to pack lunch today. I’m so grateful that our meals fitted in just 2 containers! Lesser stuff to wash 🤣. Walked into a cozy cafe and then I realized I forgot to bring my flask. I ordered a cup of iced coffee and contemplated if I should just watch the barista scooping ice to put into a plastic cup. Then I stopped her in a nick of time and asked her if she is comfortable using a food bag instead. I was pretty shy about it because her glorious shiny coffee machines kinda made me feel slightly intimidated. Hahaha. Luckily, she is open to the idea so I unfolded my 3L #pockeat and passed it to her .
.
.
Honestly, my pockeat is 3L size and I find it not ideal to drink from there because I can’t easily stick a straw in unlike the 2L size. I also had fried radish in the bag previously. Was pretty worried that my coffee would taste garlicky & funky. Anyhoo—long story short, everything was a success. I had a lovely conversation and experience in the cafe. The barista learned something new today and my coffee tasted just fine! Win-win .
.
.
Today, I said “no” to:
✅ 2 paper food boxes
✅ 2 pairs of single use cutleries
✅ 1 plastic bag
✅ 1 plastic cup with plastic lid
✅ 1 single use straw .
.
.
.
#pockeat #agooday #foodbag #ecotabao #byobsg #byo #zerowastesg
#bringyourown #ibringmyownsg #saynotosingleuse #saynotodisposables #sayyestowasteless #covid19circuitbreaker #sustainableliving #choosereusables #reuse"
139413,"meal of gift, care and leftovers :) one of my uncles unexpectedly sent 3 huge tubs of food... We had the beehoon and curry for 3 meals, and we are not done yet! The veg and egg were leftovers from the day before.

#foodsharing #zerowastemeals"
139589,"Green Gatherings at Hanzhong's. Where we look at what's in the kitchen, create a new meal to share, and more.

#foodsharing #zerowastekitchens
#everydayfoodchoices"
145438,"They say the early bird gets the worm! Enjoying quiet mornings in the office while I prepare and get ready for the day ahead.. 🤓🌿♻️ Thinking of “greening” your working environment can save costs and promote management efficiency by minimising single use plastics, switching off lights/heating/AC overnight, eco-friendly catering for events, educating your suppliers/vendors to go “green” and cut back on printing by e-filing and e-signatures. You can also calculate your own carbon footprint via (www.carbonfootprint.com), which can be incredibly revealing! 👣😅 Are there greener ways we can commute to work? 🤔 #foodforthought #corporate #greening the #blue #zerowaste #greeneconomy"
145847,"Tabao-ed vegetarian meehoon with homemade soy matcha latte 💚
(First time not using disposables for takeaways!! :D)
~
~
~
~
#sgvegan #sgvegetarian #sgfood #sgvegancommunity #vegansofsg #vegancommunity #vegansofinstagram #vegansofig #veganfood #vegetarianfood #sgfood #sgfoodie #foodie #vegetarian #vegans #veganism #vegetarianism #vegetarianeats #veganeats #veganpower  #vegetarianpower #veganfoodshare #vegetarianfoodshare #whatveganseat #whatvegetarianseat #foodlover #govegan #plantbaseddiet #zerowaste"
147953,"Great job Compass! And as we were taking pictures, people were using the banks! So nice to see. #gogreensingapore #virogreen #foodbanks #reducereuserecycle #reducewaste #greencity #savetheplanet #captainplanet"
153449,"It’s pure coincidence that I’m back to posting bakes again when the quasi lockdown kicked in.

Nonetheless I’m excited that I made my first sourdough or bread for that matter! We had a very good instructor who sent us step-by-step pics and videos throughout the process. She was also very patient and answered all our very-basic questions.

Wasn’t expecting such a long process that started a day before when we had to feed our starter yeast. We started making the dough at 10am and didn’t end till 6.30pm!

Next time please savour and appreciate every piece of bread that goes into mouth and don’t waste food! I don’t care if it means you have to scoop up all the bread crumbs. There’s so much love, sweat, effort and time that goes into making every piece of bread that it’s not right to throw anything away! 

Actually the same goes for any food! #nofoodwaste"
158972,"Few things bring me more joy than stuffing a clean community fridge full of organic vegetables that are unwanted by wholesalers.

#feedpeoplenotbins #reducefoodwaste"
159274,"Most people in Singapore don’t know what food waste really looks like. When you tell them about food waste, you get responses such as: . “Where did you buy this vegetable? Looks so nice? Hah? Shop throw away? Cannot be lah.” . “Must be something wrong. Inside spoil already, that’s why the shop throw away.” . “Free? I don’t want. What’s the catch?” .

It’s hard to reconcile what we think we know about food waste, with what it really is. That’s why this weekend, we are bringing food waste to you. .

Sat 23 Feb 2019

4.00pm to 7.00pm

Yishun Park Hawker Centre .

See you there! Bring your own reusable bag, and fill it with rescued veggies. Bring a friend too! .

#reducefoodwaste #sgfoodrescue #feedpeoplenotbins"
159275,"Most people in Singapore don’t know what food waste really looks like. And even if you tell them, they still look at you in disbelief. “This cannot be food waste lah, where you buy from? Tell me the truth.” “Must be something wrong, cannot eat, that’s why the shop throw away.” “How much this one? Free? What’s the catch?” ... are just some of the responses we get when we try to tell people about rescued food. 
The catch is this. Sometimes rescued food needs a bit more processing time than purchased food. Maybe a lot more processing time, since the quantities we get are insane. 
And we’re inviting you to come and see, touch, and bring home some of the insane amount of food we rescue every week. 
Sat 23 Feb
4.00pm to 7.00pm
Yishun Park Hawker Centre

No registration on website needed. Open to all members of the public. 
See you there!

#reducefoodwaste #feedpeoplenotbins #sgfoodrescue"
159278,"How much food could a foodchuck chuck if a foodchuck could chuck food?

Now you might be wondering what the heck is a foodchuck? Just keep reading. 
It is difficult for any freegan to be alone. Freegans normally come in packs or communities. Like wolves. That’s because it’s more fun. It’s more fun to dumpster dive as a group, and also because of the sheer amount of stuff we get. 
Freegans in Singapore generally focus on either food or merchandise. I like food, which is why most of my posts here are about food. There’s also a practical reason:

Distribution

Food distribution and merchandise distribution are two different worlds. Primarily because food spoils a lot faster than merchandise. If you’ve set up your home for merchandise and someone drops off a whole load of food, you panic. And vice versa. 
Some freegans are primarily dumpster divers. They take the best of what they find, and pass on the rest via distributors. Distributors get second pick, and decide how best to pass on the haul. 
I’ve traditionally played both roles of collector and distributor, but now have shifted more into a distribution role. Basically a distributor needs to have the patience to sort and the capability to push out the collection before it spoils and goes to waste. 
I get my family members involved to distribute, while I handle the sorting. Most of our recipients are our neighbours and migrant workers. It is our form of charity. 
Because we don’t wanna be a foodchuck and have to chuck this food away. So we give. We eat of course, but there’s only so much we can eat. So we give and we give.  And that makes us happy. 
#reducefoodwaste #sgfoodrescue"
159280,"I really enjoy organising Little India Veggie Hunts. This is the activity that started it all. This was where I first discovered the tip of the iceberg that food waste in 🇸🇬 is. 
It’s important to go back to the roots. Veggie Hunt is a great introduction to the problem of food waste. 
In the past we used to dumpster dive to collect veggies, but we have since established relationships with the shopkeepers at this row of grocers. Now they happily give to us all the produce that they are going to throw away. 
Our night-time Veggie Hunts are still not as regular as I hope they would be. Primarily because this activity takes place late at night, so we would not be able to go home on public transport unless night buses were in operation. That limits this activity to Fri and Sat nights, unless those who drive were to join us. 
The other problem is that we almost always collect too much food, as you can see from our photos. The quality of the food is poorer as compared to the food we collect at the wholesaler level. So sometimes even charities don’t want to receive them. Most of it gets channeled to the freegan community, because we’re experts at reusing. 
I like Veggie Hunt because I conduct it in an educational format. The emphasis is not just to rescue food that is going to be thrown away, but also to spend some time in reflection on this problem of food waste. 
#sgfoodrescue #reducefoodwaste"
159281,"Since young, my mum has always said that I’m rather extreme when it comes to my eating habits. When I like to eat something, I would eat a lot of it until one day, I get sick of it and wouldn’t touch that food again for a very long time. .
It would seem that freegan living suits my eating habits, since I regularly get loads of one type of food. .
Thank god for a community of freegans! I would never be able to finish eating all these on my own!
.
#reducefoodwaste #sgfoodrescue"
159282,"Hadn’t done this in a while. Actually this is probably only my second time doing this. This = checking out what a supermarket throws away. .
When a friend told me she found fishballs, I was astonished. That’s probably just the tip of the iceberg. Indeed the fishballs were still cold when we found them. .
We also found 2 sacks of leafy vegetables but they were mostly spoiling so we just threw them back where we found them. .
We gave 3/4 of this away and restocked our fridges with the rest. .
My mum said, “These are the ones I buy from the supermarket!” Now she gets to try all the other brands. Now she gets to eat fishballs till we’re blue in the face. That should put us off buying fishballs for a while. .
#reducefoodwaste #sgfoodrescue"
159285,"Tonight I led a group of mostly NUS students for a Veggie Hunt at Little India. I used to do these almost every other week a few months ago, but have since stopped because too many people wanted to go and I didn’t have the energy to manage so large a group each time. 
I’ve recently restarted this activity because it’s such a great introduction to food waste. I remember when I first did this, I was always amazed at how much discarded food was collected. 
But nowadays when I’ve worked my way up the food supply chain and seen how much more food goes to waste, the amount we collect here looks so little. 
Even so, it was more food than all 13 participants were willing to bring home. So I dug out a big shopping bag and loaded the balance of the brinjals, ladies fingers, bittergourds, and onions to bring home. 
I’ve placed them outside my flat for fellow freegans and neighbours to come collect for their own consumption. 
This is my own small way to reduce food waste and share my surplus with my little kampong. 
#reducefoodwaste #sgfr #sgfoodrescue"
159287,Brought a group of exchange students at NUS dumpster diving for veggies at Little India tonight. I haven’t done this in a while because I now collect from shopkeepers before the veggies land in the bin. But this activity is always a good introduction to food waste in Singapore. And it is a good reminder that there’s still so much to rescue everyday from the bins. Hope it’s brought about some transformation today. #reducefoodwaste
162994,"Experiments in the kitchen - what can we make with all that sourdough discard? 

My stab at sourdough discard spring onion pancakes. Slight hint of sour in a flaky, fragrant snack.

#experimentsinthekitchen #whattodowithsourdoughdiscard #toomuchsourdoughstarterdiscard #wastenot #repurpose #sourdoughjourney #experimentalcooking  #homecooking #springonions #scallions #sourdoughscallionpancake #crispy #fragrant #feedingthehusband #foodofinstagram #fatbellybella"
163102,"Well, this is not a one pot meal but it is a one dish meal, made with leftovers lurking in the fridge and freezer. 

I had a bit of tarragon chicken, which I chopped up, the last sheet of puff pastry in the freezer, together with leftover bits of puff pastry trimmings.  It took 5 mins to put it all together and then, the “creation” was brushed with egg wash .  15 mins later in a super hot oven - we have dinner.
 #easycooking #mealsinminutes #quickandeasy #leftovers #repurposingleftovers #clearthefridge #donotwaste #wastenot #onedishmeal #easypeasy #homeccoking #experimemtalcooking #homecook #foodofinstagram #fatbellybella"
163360,"Making lemon poppy seed muffins for Monday’s breakfast (& Tuesday’s, if there are any left), topped with chopped green apple just because I had some leftover from lunch today #nofailrecipe #supereasy #freesmells #homebaking #experimentalbaking #makeaheadmuffins #breakfastmuffins #feedingthehusband #morningsmadeeasy #wastenot #norush  #nostress #goodstarttotheweek #foodofinstagram #instagramfood #fatbellybella"
170032,"Before the end of the day, let us wish you a Happy Earth Day! Today was quite productive in our climate activities. New goal onwards is no longer individual actions alone, but systemic changes. Together we can. 
#Greenfluencers #QuadrantThoughts #GreenLobang #Environment #ClimateChange #Sustainability #Pollution #Waste #FoodSecurity"
170039,"Everytime we see food being wasted, our hearts die a little. 
#QuadrantThoughts #Environment #FoodWaste"
170057,"Hard time finding a stall in #PeoplesParkFoodCentre that doesn't use #disposables. Really disappointing. Finally settled for this #YongTauFu stall. Large portion provided. #Reusable cutlery used. Don't mind the chilli on the rice - just my style of not using even the disposable condiment tray. Last but not least, no #FoodWastage. 
#Greenfluencers #QuadrantThoughts #EqoCirqle #Environment #Sustainability"
170068,"#Macaroni cooked with #Leftover #Soup & ingredients from #Steamboat. #ZeroFoodWaste has never been so #Delicious. 
#Greenfluencers #QuadrantThoughts #EqoCirqle #Sustainability"
170079,"Cutting down on food waste is the least an individual can do. Order only what you can finish. Support hawkers that use reusable cutlery. 
#quadrantthoughts #sustainability #zerowastechallenge #plasticwaste #foodwaste"
170261,"Fight food waste! Buy up those single bananas destined for the bin!
#greenMaWan #nowastedfood #foodwaste"
170291,"Started experimenting with sourdough! I know the research is already done, but it is fun to follow in the footsteps of great food scientists. 
#growninhongkong #hongkongurbanfarming #growfoodhongkong #zerowaste #zeroplastic #plasticfreeoceans #plasticfreeforthesea #plasticfreelife #seed-2-STEM"
176125,"The “Buyerarchy” - A system in which consumer of a community or society are ranked according to spending habits or purchasing power. “Dear human, we think you have a great taste and not want you to miss out! Key in this promo code and get extra 25% off sitewide for your order! BUY NOW!” “亲，猜你喜欢！只要买上五件包邮“

Does all these messages look familiar to you? 
ABORT MISSION! IT’S A TRAP! 
Think HARD about it again next time, do you really “need” that or you just “want” it? 
These terms seem so simple and easy to understand, but all too often, we blur the lines. #buyerarchy #buyerarchyofneeds #foodforless #wiseconsumer #spendwisely #reducewaste #barnything"
176254,"When a festive season leaves behind a load of mandarin oranges that are rapidly losing their quality, enjoy them freshly squeezed in a glass instead. Still tasty!

Happy weekend!

#reducefoodwaste #oldfruit #reducewaste #breakfast #seasonalfruit #festive #mandarinoranges #cny #backtonormal #dailylife #sg #citrus"
176328,"A lot of us have been purchasing nut-based milk in a carton pack flown in from far distant countries. We have found that a pack can contain as high as over 90% filtered water, a tiny % of the main ingredient and a list of flavourings and additives to boost its taste, sweetness and to preserve it for longer so it can travel further to reach you.

This basically means we are paying for water and carton material to be flown round the world. 

We are fortunate to live in a country with an easy access to tasty tropical ingredients. Fresh coconut is sold in abundance in Singapore and 100% pure coconut milk can be made at home by you... or for greater convenience ready-squeezed ones from your local store are just as good. Simply add water to thin it down and it becomes the perfect accompaniment to breakfast oats.

Pure rich tasty unadulterated natural healthy freshness at a mere fraction of the price of an imported water-filled packed version.

Why not try it for yourself?

Goes well with our Peaconut oats 😄

#sustainableliving #sustainability #reducecarbonfootprint #reducewaste #checkyouringredients #eathealthy #choosewisely #foodmatters #livewell #eatlocal #makeyourown #tropical #supportlocalbusiness #coconut #vegan #vegetarian #healthy #straitspreserves 
#eatnatural #choosenatural #peaconut #peaconutoats"
176388,"#stayhome Sweet and Savoury Creations.
.
We attempted to make a #spanakopita to save our very sad looking spinach leeks spring onion lettuce and whatever leftover scraggly vegetables that was in the fridge and we are so glad we did.
.
Not only did we prevent a big waste of ingredients, we made a healthy-ish meal (let’s not count the layers of olive oil in between filo pastry sheets) and we had leftover filo to treat ourselves to a sweetie desert roll filled with #marmalade and #pistachio ...
.
It was yum... so yum we forgot to take a shot of the insides of the sweet roll ... oh well
.
#stayhomesg #homebaking #homemade #reducewaste #healthyfood"
176396,"Peaconut Salad dressing.

Combine olive oil, salt, pepper, herbs, spices, vinegar, honey or maple syrup, mustard, good squeeze of citrus, ginger, garlic, soy sauce or any other ingredients you desire with what’s remaining in your #peaconutbutter jar to create a dressing that will deliver a gentle peanut+coconut finish to your favourite salads. Or add spoonfuls more #peaconut if you prefer a stronger nuttier taste.

Waste not #peaconut Waste not #glassjar Waste not #washingup 
#stayhome #recipeideas #reducewaste #savefood #usewhatyouhave #dontwastefood #environmentallyfriendly #recycle #homemadefood #whattodo #needtoeathealthy"
176399,"Peaconut Butter Banana ice cream.

This super simple 2-ingredient recipe transforms overly ripe unappealing bananas into a gorgeous dessert and it is completely dairy-free!

Peel, slice and freeze the bananas. Using a powerful food processor or blender, purée the frozen slices till they reach a silky smooth ice cream texture. Add #peaconutbutter and combine well.

Place into freezer till ready to serve.

Delicious! 
#healthy #norefinedsugar #vegan #vegetarian #dairyfree #glutenfree 
#peaconut #fruity #coconut #stayhome #homemade #nowastedfood #sghealthfoodies #singaporefood #recipeideas #whattodo #familytime #funweekend"
177043,"Started our own little vermicomposting kit today! Hopefully all goes well, let’s see what happens in a month 🤞🏾☘️
•
•
#vermicompost #compost #indoorcompost #zerowastesg #zerowaste #lowwastemovement #foodwaste"
177739,"While automation is inevitable in the longer term given fewer hires and rising staff costs, a trade-off need not necessarily be struck between human touch and greater efficiency. In our collaboration with IIM, a deep-tech startup that develops smart building robots, SLICE is exploring the use of next-generation professional service robots to deliver high standards of food service with heart. 🌱👩‍🍳 .🤖. 👩‍🍳🌱
Imagine a service robot capable of ‘running the pass’ by using computer vision to recognise dishes that have been prepared and matching them to the correct orders by diners, all while autonomously navigating through tight spaces and detecting obstacles in its path. In a humanoid form with its soft exterior, this service robot-of-the-future will also be equipped with advanced cognitive abilities that allow it to interact with humans in a fluid, accurate and engaging manner.
#SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177740,"More than one-third of the world’s food is never consumed. Instead, it rots in fields, gets lost on the way to market, or goes into people’s waste bins. At the same time, 815 million people are hungry, and decomposing food is a significant contributor to a warming planet. While we don’t have jarring images of an ocean overrun with food as we unfortunately do for plastic bags and bottles, the damage is real. According to the World Economic Forum, if food loss and waste were a country, it would be the world’s third-largest emitter of greenhouse gases.

This 5kg food waste digestor is a  small effort on our side to turn the food waste into fertilizer for our plants! Do let us know about more such solutions in the comments below. 🗑️ #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177741,"Cobots Roll Out (1/3)
If we think about industries that are worst hit by the labour crunch, the F&B industry easily comes to mind. It’s becoming more difficult to find kitchen assistants, waiters, dishwashers etc. because there’s so much manual work involved.
🤖👩‍🍳 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177742,"Cobots Roll Out (2/3)
Imagine a kitchen where chefs focus solely on menu creation and perfecting their cooking techniques. They work alongside cobots and robotic arms that perform manual and repetitive tasks such as retrieving, cutting and portioning of ingredients. Assisted by 3D food printers that supplement the main dish with sides on-demand, chefs proceed with the finishing touches by putting their most aesthetic plate forward. Once the prep work is done, they leave it to the dishwashing bots to take care of the rest.
🤖👩‍🍳 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177743,"Cobots Roll Out (3/3)
We want technology to bring us closer to human autonomy by augmenting our abilities, and not replace us wholly. With robots taking care of the most laborious and repetitive tasks that have lower value-add, this allows us to focus on the most exciting and enriching activities that bring out the best of human creativity.
🤖👩‍🍳 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177744,"Soft launch of Slice farm to fork robocafe - 21st September, 2019. 🍀☘️🍀☘️🍀 Our freshly harvested produced served on the live salad station for the softlauch - tossed with some nuts and raisins, baby tomatoes, cucumbers, lemon herb butter, olive oil and balsamic vinegar! 
We are open for collaboration to reinvent how we produce, cook and eat. 🥬👩🏼‍🍳👨🏻‍🍳🥗 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177745,"Soft launch of Slice farm to fork robocafe - 21st September, 2019. ✨🌿 Highlights of the event 🌿✨
Join us as we embark on a journey that will enable people from all spectrums to truly enjoy a slice of life!
#SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177746,"Soft launch of Slice farm to fork robocafe - 21st September, 2019. 🍀☘️🍀☘️🍀
Addressing the fundamental problems of today - farming is tedious, the food value chain is environmentally unsustainable,  labour shortage in F&B is commonplace. Perhaps it's time for us to reimagine how we grow, process and consume food more optimally. 
We aim to set up an experimental platform where innovators can testbed their ideas relating to the future of food and agriculture, and integrate them into the full value chain. Current concepts that are being explored include 'zero-miles' food production, AI-enabled personalised diets, and robots that would augment the abilities of visually-impaired chefs.
#SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177747,"Increasing global population and rising incomes are straining our current food systems. Global food demand is expected to double by 2050, and the challenge of increasing food production is made tougher by phenomena such as climate change and urbanization.
The following problems, if left unsolved, will only exacerbate the vulnerabilities of our current food
system, even as it strives to meet the demands of consumers globally.

The time has come for us to re-imagine how we grow, process and consume food optimally and sustainably.
🌱🌿🍃🍂🍃🌿🌱
#SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177748,"Jointly kickstarted by JTC and Mistletoe, 
SLICE is an experimental platform where innovators can testbed their ideas relating to the future of food and agriculture, and integrate them into the full value chain. From how food is produced to how it is prepared and consumed, we hope that innovators supported by the right technologies can join us to reinvent the wheel and map out a new fresh food economy.

Join us in our journey 💚🌱🌄 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177749,"SLICE got its name from the phrase - ‘slice of life’, which is commonly used to describe things that provoke emotion, but are also realistic. Through an optimised food value chain using technology as an enabler, we hope to create a better outcome where people from all spectrums can truly enjoy a slice of life.

Be a part of out Journey 💚🌱🌄
#SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste  #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
177750,"Jointly kickstarted by Mistletoe and JTC, 
SLICE is an experimental platform where innovators can testbed their ideas relating to the future of food and agriculture, and integrate them into the full value chain. From how food is produced to how it is prepared and consumed, we hope that innovators supported by the right technologies can join us to reinvent the wheel and map out a new fresh food economy.

Join us in our journey 💚🌱🌄 #SliceRobocafe  #SLICE  #Farm2Fork  #madeinSG  #eatfresh  #GrowYourOwn #ClosertoyourFoodsource  #Agriculture  #UrbanFarming  #WhatWeGrow  #KnowYourFood  #SupportLocal  #LocallyGrown  #ZeroWaste #CircularFoodEconomy  #Singapore  #Ecosystem  #Regenerative #Biodynamic  #PesticideFree  #ChemicalFree  #smallscalefarming"
179486,"One of the best conditions to learn is staying outdoors! 🍃

We had an amazing exchange on the subject on vermi compost - turning waste to treasure!

#outdoorclassroom #vitaminD #openmind #permaculture #permaculturesingapore #ecofriendlyinsingapore #vermicompost #compost #worm #soil #nutrients #carbon #nitrogen #zerowaste #foodwaste #kampongwisdom #urbanfarming #gardeningsg #natureslessons #nature_sultans #natureschool #greenschool #homeschoolsingapore #bishan #park #nparks #greenspace #singaporeworkshop #greensingapore #foodscapegardens"
180895,"Last weeks veggie scraps turned in to a pretty great lunch 🥕🧅🧄🌶🫑🥦
#vegetablestock #foodscraps #souplunch  #somekindoframen #nowaste #twoyearsinsingapore"
183609,"These veggies (actually all my veggies) are grown from worm compost, which is made from the inedible parts of freeganed fruits and vegetables.
#freegan #lovefoodhatewaste #foodgarden #cradletocradle #cycleoflife"
183610,This chicken rice chilli was from an event on Sep 29. So it’s 3 months old and still good! 😋 Great with bitter gourd 😁 #freegan #zerowaste #lovefoodhatewaste
184193,"Happy Plastic Free July 
Refilling our own containers reduces waste. 
How you ask?
Reusing our own containers over and over again wipes out the need for single use plastics 

Refilling our own containers allows us to buy just the amount of food we need which reduces food waste and saves money. 

1/3 of the worlds food population produced is wasted. With millions of people starving in the world and food waste adding to our carbon emissions, small lifestyle changes we can make the world of difference 🌎

To find a bulk fill store near you visit my website click on bio ☝️or visit www.ecoorganiser.com.au

#plasticfreejuly #reduce #reuse #refill #usewhatyouhave #ecoorganise #singleuseplastic #simplifyyourlife #saveourplanet #climatecrisis #carbonemissions #foodwaste #actnow #responsible #wastefree #wasteless #publicspeaker #wastecoach #the10rs #author"
184219,"Crap or Not? 🥦 
Grown in Turkey🇹🇷 packed in New Zealand 🇳🇿

There is a story to this one, I hope you take the time to read on...

While traveling in SW QLD last month, we found fresh fruit and veggies not only difficult to come by but very expensive. 

Keeping an eye on areas of fruit eye and the horrible mouse plague we kept our fresh food supplies low with a good supply of “just in case we breakdown” non perishables. 

On reaching Cunnamulla we needed to stock up as we we’re heading deeper in the outback. 

Craving anything green this product was our only choice. 

I was so shocked to see the food miles let alone the plastic packaging. Grown in Turkey then transported to NZ to be packaged, then to Australia and Cunnamulla in SW QLD. 

For us that live with fresh produce in abundance how can we poo who others for buying food with massive food miles. We can’t. 

Many outback towns are dying so it’s difficult to engage the community to set up community gardens, councils don’t have the money to run composting programs let alone gardens. 

My thoughts go out to people that don’t have a choice. For people living on stations can be a 200km round trip to the closest supermarket. 

Why live out there?
I spent part of my youth living on a sheep station and loved it. 

Its important to know that is where our beef patties and lamb chops are grown, not the supermarket shelf wrapped in plastic. 

With 1/3 of the worlds food produced wasted, let’s not waste food, rather rethink where it is grown and thank our farmers everyday. 

#foodmiles #giveupcrap #foodwaste #eatyourfood #broccoli #turkey🇹🇷 #newzealand #outbackaustralia #prelockdown #wasteless #rethink #meatfree #goveggo #plasticpackaging #choice #responsible #countrylife #fruitandveg #traveltips"
184221,"Apple and rhubarb 🍎
A few old apples from the fridge stewed with freshly picked rhubarb😋 

What should I serve it with?
Yogurt or ice cream?

Zero miles😂 garden to kitchen, too easy. 👍

#apple #rhubarb #lovefoodhatewaste #homecook #realfood #freshproduce #morningtonpeninsula #zerofoodmiles"
184260,"Fruit picking for lemons and late plums. 

You can never have too many lemons 🍋 for cooking, cleaning, detoxing your body or in your beauty regimen. 

Plums are going into the pot for plum jam. 

Also making basil pesto, stewing some of our rhubarb and apples for desserts. And roasting up last week veggies to use in salads this week. 

An afternoon spent in the kitchen saves me hours during the week plus no food goes to waste. 

It’s a simple life yet rich in so many ways. 

#simplelife #sustainableliving #lemon #plum #jammaking #lovefoodhatewaste #wasteless #richlife #sustainablehome #ecoorganise #morningtonpeninsula #wastecoach #the10rs"
184262,"Coffee grounds can be recycled at home by feeding into the garden. 

Create a collection point in your home kitchen or office. Once your container is full, simple tip onto the earth and lightly scratch in. 

Coffee grinds helps neutralise soil. 
No need to buy products for your garden when you become mates with your waste. 

Ask your local cafe if they have some to spare. You will find most cafes are thrilled to see them recycled. 

#recycleathome #mateswithwaste #coffeegrinds #the10rs #reducereuserecycle #homegardener #ecoorganise #wasteless #soilimprover #naturalgardening #foodsecurity"
184269,"Pears preserved 😋

Our beautiful neighbor gave us a box of pears from their tree!

Waste not, now they will provide us with winter deserts, pears with cinnamon, pear and strawberry pie, pears and custard😋😋😋

#sharefood #pear #preserves #lovefoodhatewaste #ecoorganise #morningtonpeninsula"
